timestamp,run,repetition,task,model,exit_code,correct,duration_seconds,used_5h_before,used_5h_after,delta_5h,reset_5h,used_weekly_before,used_weekly_after,delta_weekly,reset_weekly,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,command_executions,agent_messages,event_count,parse_errors,thread_id,rate_snapshot_count,rate_coherent_count,rate_ambiguous,rate_reset_pairs,rate_session_file,rate_session_match_count,resolved_model,resolved_effort,cli_version,session_id,model_context_window,fresh_read_ok,fresh_read_error,fresh_settle_seconds,fresh_limit_id,fresh_used_5h,fresh_used_weekly,fresh_reset_5h,fresh_reset_weekly,fresh_window_matches_inrun,fresh_vs_inrun_5h,fresh_vs_inrun_weekly,fresh_delta_5h,fresh_delta_weekly,fresh_reset_credit_count,answer,model_verified,tool_count_expected,message_count_expected,model_calls_expected,input_token_in_expected_band,quota_valid,telemetry_valid
2026-07-12T03:11:47.525885+00:00,1,1,aggregate,gpt-5.6-sol,0,True,8.918,2.0,3.0,1.0,1783843892,33.0,33.0,0.0,1784393379,27641,13056,14585,233,97,1,1,6,0,019f544f-1e19-74f0-a70c-2bd11a0b7377,2,2,False,"[[1783843892, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T05-11-39-019f544f-1e19-74f0-a70c-2bd11a0b7377.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f544f-1e19-74f0-a70c-2bd11a0b7377,353400,True,,0,codex,4,33,1783843893,1784393379,True,1.0,0.0,,,3,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,True,True
2026-07-12T03:12:06.490450+00:00,2,1,aggregate,gpt-5.6-sol,0,True,9.993,3.0,5.0,2.0,1783843892,33.0,33.0,0.0,1784393379,27640,13056,14584,228,92,1,1,6,0,019f544f-5f91-7f42-b55f-064402d8437a,2,2,False,"[[1783843892, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T05-11-55-019f544f-5f91-7f42-b55f-064402d8437a.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f544f-5f91-7f42-b55f-064402d8437a,353400,True,,0,codex,6,33,1783843893,1784393380,True,1.0,0.0,2,0,3,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,True,True
2026-07-12T03:12:25.211945+00:00,3,1,aggregate,gpt-5.5,0,True,9.807,5.0,6.0,1.0,1783843892,33.0,33.0,0.0,1784393379,27755,15104,12651,346,219,1,1,6,0,019f544f-a9a3-7952-b747-25df80198b31,2,2,False,"[[1783843892, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T05-12-14-019f544f-a9a3-7952-b747-25df80198b31.jsonl,1,gpt-5.5,medium,0.144.0,019f544f-a9a3-7952-b747-25df80198b31,258400,True,,0,codex,8,33,1783843893,1784393380,True,2.0,0.0,2,0,3,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,True,True
2026-07-12T03:12:44.669971+00:00,4,1,aggregate,gpt-5.5,0,True,10.673,6.0,7.0,1.0,1783843892,33.0,33.0,0.0,1784393379,27750,15104,12646,300,173,1,1,6,0,019f544f-f2c8-71e0-a695-3057be4b11eb,2,2,False,"[[1783843892, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T05-12-33-019f544f-f2c8-71e0-a695-3057be4b11eb.jsonl,1,gpt-5.5,medium,0.144.0,019f544f-f2c8-71e0-a695-3057be4b11eb,258400,True,,0,codex,8,34,1783843892,1784393379,True,1.0,1.0,0,1,3,"{""task_id"":""aggregate-v1"",""answer"":[""north|23|31785|B"",""south|28|50584|D"",""west|21|44336|B""]}",True,True,True,True,True,True,True
2026-07-12T03:13:05.084588+00:00,5,1,dependencies,gpt-5.5,0,True,11.599,7.0,8.0,1.0,1783843892,33.0,33.0,0.0,1784393379,27542,15104,12438,368,240,1,1,6,0,019f5450-3ece-7e71-bde0-bc2f888c5273,2,2,False,"[[1783843892, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T05-12-52-019f5450-3ece-7e71-bde0-bc2f888c5273.jsonl,1,gpt-5.5,medium,0.144.0,019f5450-3ece-7e71-bde0-bc2f888c5273,258400,True,,0,codex,9,34,1783843893,1784393379,True,1.0,1.0,1,0,3,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-12T03:13:25.943597+00:00,6,1,dependencies,gpt-5.5,0,True,12.001,8.0,8.0,0.0,1783843892,33.0,34.0,1.0,1784393379,27550,3840,23710,468,353,1,1,6,0,019f5450-8e91-7063-8d26-1de682a0d8b7,2,2,False,"[[1783843892, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T05-13-13-019f5450-8e91-7063-8d26-1de682a0d8b7.jsonl,1,gpt-5.5,medium,0.144.0,019f5450-8e91-7063-8d26-1de682a0d8b7,258400,True,,0,codex,1,3,1783844006,1784403963,False,-7.0,-31.0,,,3,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-12T03:13:43.900690+00:00,7,1,dependencies,gpt-5.6-sol,0,True,9.115,8.0,9.0,1.0,1783843892,34.0,34.0,0.0,1784393379,27431,13056,14375,253,123,1,1,6,0,019f5450-e029-77a1-9f31-080a1f6fc9ad,2,2,False,"[[1783843892, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T05-13-34-019f5450-e029-77a1-9f31-080a1f6fc9ad.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5450-e029-77a1-9f31-080a1f6fc9ad,353400,True,,0,codex,10,34,1783843893,1784393379,True,1.0,0.0,,,3,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-12T03:14:04.822992+00:00,8,1,dependencies,gpt-5.6-sol,0,True,12.013,9.0,9.0,0.0,1783843892,34.0,34.0,0.0,1784393379,27474,13056,14418,324,151,1,2,7,0,019f5451-2639-7422-9467-f97407f4c0f7,2,2,False,"[[1783843892, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T05-13-52-019f5451-2639-7422-9467-f97407f4c0f7.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5451-2639-7422-9467-f97407f4c0f7,353400,True,,0,codex,11,34,1783843893,1784393379,True,2.0,0.0,1,0,3,"{""task_id"":""dependencies-v1"",""answer"":[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""I"",""J"",""K"",""O""]}",True,True,True,True,True,True,True
2026-07-12T03:14:26.201824+00:00,9,1,schedule,gpt-5.6-sol,0,True,12.509,9.0,10.0,1.0,1783843892,34.0,34.0,0.0,1784393379,27508,13056,14452,350,220,1,1,6,0,019f5451-77f5-7321-8526-8849b2d5f645,2,2,False,"[[1783843892, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T05-14-13-019f5451-77f5-7321-8526-8849b2d5f645.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5451-77f5-7321-8526-8849b2d5f645,353400,True,,0,codex,11,34,1783843893,1784393379,True,1.0,0.0,0,0,3,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,True,True
2026-07-12T03:14:50.522110+00:00,10,1,schedule,gpt-5.6-sol,0,True,15.416,10.0,11.0,1.0,1783843892,34.0,34.0,0.0,1784393379,27506,13056,14450,362,233,1,1,6,0,019f5451-cb88-7193-a371-c1ec172b77d2,2,2,False,"[[1783843892, 1784393379]]",<HOME>/.codex/sessions/2026/07/12/rollout-2026-07-12T05-14-34-019f5451-cb88-7193-a371-c1ec172b77d2.jsonl,1,gpt-5.6-sol,medium,0.144.0,019f5451-cb88-7193-a371-c1ec172b77d2,353400,True,,0,codex,12,34,1783843893,1784393379,True,1.0,0.0,1,0,3,"{""task_id"":""schedule-v1"",""answer"":[""J01"",""J03"",""J05"",""J09"",""J12"",""J14"",""J16""]}",True,True,True,True,True,True,True
